device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,country,countryCode,region,regionName,city,zip,lat,lon,timezone,mobile,proxy,hosting
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fa2a905ebe10d624a5be40bfe81766e0282dd374,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,217.66.158.227,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,ce639ec37978863a9050c2669b57da3ef1aa970b,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,217.165.115.226,United Arab Emirates,AE,DU,Dubai,Dubai,,25.0731,55.298,Asia/Dubai,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fa2a905ebe10d624a5be40bfe81766e0282dd374,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,5.18.235.235,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fe593f13a0a4444f16197a3ca85563ce69c2ad4b,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 76.0.3809,5.18.235.235,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,bad84afdd47915f86f43d8771ff6b37503d7443d,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,85.114.27.150,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,true,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fc95201d14d917c9abea75dc14136474b9930380,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,5.18.248.133,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,ce639ec37978863a9050c2669b57da3ef1aa970b,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 77.0.3865,85.114.27.150,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,true,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fe593f13a0a4444f16197a3ca85563ce69c2ad4b,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,5.18.248.133,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fa2a905ebe10d624a5be40bfe81766e0282dd374,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,5.18.248.133,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fa2a905ebe10d624a5be40bfe81766e0282dd374,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 79.0.3945,85.114.27.150,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,true,false
